Gender,Age Range,Head Size(cm^3),Brain Weight(grams),Class
0,1,3561,1127,0
0,1,3566,1306,0
1,2,3571,1295,0
0,1,3571,1316,0
0,1,3572,1270,0
1,2,3577,1245,0
0,2,3580,1320,0
1,2,3582,1300,0
1,1,3585,1300,0
0,2,3586,1250,0
1,2,3589,1250,0
1,2,3594,1290,0
0,1,3609,1210,0
1,1,3613,1355,0
1,2,3614,1180,0
0,1,3615,1350,0
1,2,3618,1290,0
0,1,3632,1163,0
1,1,3640,1355,0
1,1,3641,1311,0
0,1,3642,1205,0
1,1,3644,1300,0
0,2,3647,1408,0
1,2,3648,1260,0
1,2,3654,1242,0
1,2,3661,1320,0
1,2,3662,1230,0
1,2,3666,1270,0
1,2,3667,1310,0
1,2,3669,1222,0
0,1,3680,1321,0
0,2,3685,1350,0
0,2,3687,1355,0
0,1,3689,1290,0
0,2,3692,1305,0
1,2,3695,1310,0
1,2,3700,1290,0
0,2,3703,1350,0
0,2,3704,1220,0
0,1,3707,1235,0
1,1,3710,1270,0
0,2,3716,1300,0
0,1,3724,1280,0
1,2,3727,1470,0
0,2,3735,1350,0
1,1,3738,1297,0
0,2,3740,1280,0
1,1,3748,1350,0
1,1,3777,1282,0
1,2,3779,1165,0
0,1,3779,1520,0
1,2,3782,1350,0
1,1,3785,1400,0
1,1,3787,1318,0
0,1,3791,1260,0
1,1,3793,1350,0
1,1,3796,1432,0
0,1,3803,1374,0
1,1,3804,1275,0
1,1,3804,1570,0
1,1,3814,1207,0
1,2,3824,1240,0
1,2,3830,1245,0
1,1,3832,1208,0
1,2,3834,1430,0
1,2,3835,1315,0
1,2,3850,1412,0
0,2,3851,1405,0
0,1,3853,1373,0
1,2,3856,1430,0
1,2,3858,1390,0
1,1,3863,1340,0
1,2,3866,1415,0
1,1,3876,1405,0
1,2,3876,1588,0
1,1,3878,1357,0
1,1,3890,1310,0
1,1,3891,1224,0
1,2,3899,1346,0
0,1,3899,1380,0
1,2,3900,1270,0
0,1,3903,1334,0
1,2,3907,1440,0
1,2,3916,1360,0
1,2,3930,1252,0
1,2,3933,1309,0
1,2,3935,1330,0
1,2,3937,1300,0
1,1,3962,1350,0
0,1,3979,1324,0
1,1,3982,1375,0
1,1,3993,1380,0
0,2,3995,1296,0
0,1,4005,1280,0
0,1,4006,1302,0
1,2,4008,1468,0
1,1,4012,1400,0
1,1,4022,1485,0
1,2,4032,1425,0
1,1,4034,1422,1
1,1,4036,1490,1
1,1,4046,1287,1
1,2,4046,1450,1
1,2,4051,1306,1
1,2,4053,1312,1
1,2,4057,1432,1
1,1,4063,1390,1
1,1,4103,1364,1
1,2,4114,1362,1
1,2,4121,1380,1
1,1,4158,1432,1
1,2,4160,1370,1
1,1,4161,1405,1
1,2,4166,1560,1
1,1,4175,1420,1
1,1,4177,1590,1
1,2,4200,1256,1
0,2,4204,1380,1
1,1,4208,1522,1
1,2,4253,1485,1
1,1,4261,1335,1
1,1,4270,1335,1
1,1,4308,1506,1
1,1,4315,1525,1
1,2,4381,1415,1
1,1,4423,1505,1
1,1,4424,1400,1
1,2,4430,1510,1
1,2,4430,1620,1
1,2,4442,1330,1
1,2,4488,1440,1
1,1,4512,1530,1
